timestamp,pool_address,pool_name,virtual_price,volume_24h,apy,total_supply,eth_balance,steth_balance,source,pool_type,priority
2024-07-20 15:31:17.148118,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.14496158530913,0.0,0,41961.12468517878,12367.58310875865,35065.93675815528,self_built,eth_pool,2
2024-07-20 21:31:17.148115,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1195111517055074,0.0,0,42254.697091190515,12364.653915199855,34911.6814851736,self_built,eth_pool,2
2024-07-21 03:31:17.148111,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.120852866546581,0.0,0,42909.29418984044,12122.379051330332,35327.731872084034,self_built,eth_pool,2
2024-07-21 09:31:17.148108,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1443846852446604,0.0,0,42592.193673783404,12652.391726960415,35352.26936844892,self_built,eth_pool,2
2024-07-21 15:31:17.148104,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.106927031586379,0.0,0,42931.51064748381,12716.546408467722,35142.08805996093,self_built,eth_pool,2
2024-07-21 21:31:17.148101,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1021948820359992,0.0,0,42685.88963563443,12351.12956712564,34750.03385847629,self_built,eth_pool,2
2024-07-22 03:31:17.148097,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.129619062315185,0.0,0,42326.10273119568,12623.027259894261,34656.50363271168,self_built,eth_pool,2
2024-07-22 09:31:17.148094,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1263514918435682,0.0,0,42737.68192895412,12724.17027410968,34046.59205103836,self_built,eth_pool,2
2024-07-22 15:31:17.148090,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1305326172555725,0.0,0,42232.95650067526,12634.34212624795,36231.994205667055,self_built,eth_pool,2
2024-07-22 21:31:17.148086,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1181537866751239,0.0,0,42517.43468033285,12302.293592897133,34620.99007731806,self_built,eth_pool,2
2024-07-23 03:31:17.148083,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.125611514110054,0.0,0,41915.34128834578,12476.428062097415,35112.163111952184,self_built,eth_pool,2
2024-07-23 09:31:17.148079,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1481547648300352,0.0,0,41912.076939389786,12734.253190670746,34849.398978626006,self_built,eth_pool,2
2024-07-23 15:31:17.148076,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.1155388624336882,0.0,0,41804.60686785933,12681.370447481648,35955.288382471306,self_built,eth_pool,2
2024-07-23 21:31:17.148072,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,steth,1.0984115691522482,0.0,0,42497.81581801805,12574.838166945814,34637.56471821608,self_built,eth_pool,2
