timestamp,pool_address,pool_name,virtual_price,volume_24h,apy,total_supply,gusd_balance,3crv_balance,source,pool_type,priority
2024-07-20 15:32:26.001707,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0842232330420134,0.0,0,1754106.5926082574,790008.7110840192,1040132.6253078532,self_built,metapool,4
2024-07-20 21:32:26.001703,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.121329050029056,0.0,0,1723794.848796826,817595.2167217067,1076340.138563201,self_built,metapool,4
2024-07-21 03:32:26.001698,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0385568340442313,0.0,0,1774892.9614872308,792484.4192140342,1074719.5896375563,self_built,metapool,4
2024-07-21 09:32:26.001693,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0751682952159292,0.0,0,1734223.2716335377,780146.8274684257,1030996.3614611842,self_built,metapool,4
2024-07-21 15:32:26.001689,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0933999026631582,0.0,0,1768099.4478587096,825947.4442481048,1083598.8654283301,self_built,metapool,4
2024-07-21 21:32:26.001684,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0776020080527773,0.0,0,1724539.0869430806,781493.2533671146,1040428.9603502427,self_built,metapool,4
2024-07-22 03:32:26.001679,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.044887972279807,0.0,0,1737890.0932648818,809070.1375831736,1048018.1488588568,self_built,metapool,4
2024-07-22 09:32:26.001674,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0316430850180744,0.0,0,1754379.5249783706,812191.8540572048,1018460.903088345,self_built,metapool,4
2024-07-22 15:32:26.001669,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.073991782495245,0.0,0,1768016.1309579904,796033.7346338682,1032383.6271739942,self_built,metapool,4
2024-07-22 21:32:26.001664,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0549626414307696,0.0,0,1702158.5283221635,805809.7228898362,1065475.1971498304,self_built,metapool,4
2024-07-23 03:32:26.001659,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0544490732708114,0.0,0,1770908.2361594606,800721.75646689,1030287.8767108099,self_built,metapool,4
2024-07-23 09:32:26.001655,0x4f062658EaAF2C1ccf8C8e36D6824CDf41167956,gusd,1.0906105296742277,0.0,0,1739973.336556091,803909.9878737461,1078488.5057743995,self_built,metapool,4
