timestamp,pool_address,pool_name,virtual_price,volume_24h,apy,total_supply,usdc_balance,usdt_balance,dai_balance,source,pool_type,priority
2024-07-20 15:32:14.118784,0x0000000000000000000000000000000000000000,ironbank,1.0050060941004582,2093379.9542367065,0.03189896702471554,15258471.161181021,5012046.5647046575,5271946.260415641,4952216.340116618,self_built,lending,4
2024-07-20 21:32:14.118780,0x0000000000000000000000000000000000000000,ironbank,1.0141562009419796,2086964.2363159496,0.030865576522404438,15301887.840784078,5238651.199341093,5152988.784376066,5110845.552610541,self_built,lending,4
2024-07-21 03:32:14.118776,0x0000000000000000000000000000000000000000,ironbank,1.04507538906954,2080072.8366904396,0.031217011674514926,15429983.701222548,5008823.408944419,5037791.393066562,5177456.624218778,self_built,lending,4
2024-07-21 09:32:14.118772,0x0000000000000000000000000000000000000000,ironbank,1.0053228066653601,2170795.0474437824,0.02958444793940929,15239760.206563994,5083286.055262353,5095677.811457771,4880040.227963227,self_built,lending,4
2024-07-21 15:32:14.118768,0x0000000000000000000000000000000000000000,ironbank,1.0126673201511176,2103696.7837966317,0.031042858847844874,15281294.147366282,5192136.244380541,5085681.582474198,4831894.067476445,self_built,lending,4
2024-07-21 21:32:14.118764,0x0000000000000000000000000000000000000000,ironbank,1.0186148338252357,1957402.4851483414,0.032518485486723224,15822584.365561955,5043105.651353145,5118205.8000267595,4779883.961876072,self_built,lending,4
2024-07-22 03:32:14.118760,0x0000000000000000000000000000000000000000,ironbank,1.023236779792028,2121186.2139370986,0.030271468399805473,15392215.685584692,4936953.992670043,5107871.695068484,5173430.14826258,self_built,lending,4
2024-07-22 09:32:14.118756,0x0000000000000000000000000000000000000000,ironbank,1.0475820541991347,2008708.8465889797,0.029142923852111306,15112002.6782254,5067359.953684987,5015569.916083632,5129720.920281234,self_built,lending,4
2024-07-22 15:32:14.118752,0x0000000000000000000000000000000000000000,ironbank,1.0117072331844683,2114647.4876688956,0.03078416524582774,15271067.849990308,4980419.537928929,5019093.283455043,4846024.760773171,self_built,lending,4
2024-07-22 21:32:14.118748,0x0000000000000000000000000000000000000000,ironbank,1.0180562873751913,2126510.0411876845,0.03079642123791585,15115224.59993491,5076332.905107403,5093659.068816395,5038881.668917767,self_built,lending,4
2024-07-23 03:32:14.118744,0x0000000000000000000000000000000000000000,ironbank,1.0481263601030844,1884873.777465423,0.030479039927946074,15413111.518455304,4841655.617284449,4918200.295800351,5040455.107919158,self_built,lending,4
2024-07-23 09:32:14.118740,0x0000000000000000000000000000000000000000,ironbank,1.0319114957587296,2047380.7826313267,0.029922924847645815,15155763.069037795,4950308.627347377,5038610.748202631,5139641.63245238,self_built,lending,4
2024-07-23 15:32:14.118736,0x0000000000000000000000000000000000000000,ironbank,1.024905529959619,2069420.1585458212,0.030607928090985698,15299703.118992798,5023706.9081868855,5144990.211505604,5071317.19447223,self_built,lending,4
2024-07-23 21:32:14.118732,0x0000000000000000000000000000000000000000,ironbank,1.0416251385165456,1988108.7168763091,0.03016032550612845,14927258.581399094,5124795.494797175,5086289.41946989,4926480.31696064,self_built,lending,4
2024-07-24 03:32:14.118728,0x0000000000000000000000000000000000000000,ironbank,1.011575360147407,1952143.2024802952,0.030376567689971285,15497720.39651833,5166764.240847164,4869329.300069158,5021210.417951319,self_built,lending,4
2024-07-24 09:32:14.118724,0x0000000000000000000000000000000000000000,ironbank,0.993969308613999,2103302.256439877,0.03000793520646943,15299838.732446887,5000162.677300848,5132286.367932332,5050303.803900463,self_built,lending,4
2024-07-24 15:32:14.118718,0x0000000000000000000000000000000000000000,ironbank,1.003518594092782,1947739.846928711,0.030826974726155823,15244302.56331668,5156005.457397937,4960627.700654948,5025499.555603173,self_built,lending,4
2024-07-24 21:32:14.118714,0x0000000000000000000000000000000000000000,ironbank,1.00819217012513,2036474.4617841365,0.03023793396573652,15192531.60157562,5023740.098453523,5099582.60760888,4922061.968165731,self_built,lending,4
