timestamp,pool_address,pool_name,virtual_price,volume_24h,apy,total_supply,musd_balance,3crv_balance,source,pool_type,priority
2024-07-20 15:32:33.116352,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0284157555252096,0.0,0,643066.9181834153,301608.02260969643,349783.1633168932,self_built,metapool,4
2024-07-20 21:32:33.116347,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0171702000153302,0.0,0,643700.2982643358,290102.82122378825,341549.79699922516,self_built,metapool,4
2024-07-21 03:32:33.116342,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0643757153280253,0.0,0,641869.5783877622,301861.654648225,345674.17846583744,self_built,metapool,4
2024-07-21 09:32:33.116337,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0482746910879739,0.0,0,639572.879439947,293981.62888914405,345434.57536660595,self_built,metapool,4
2024-07-21 15:32:33.116332,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0328885638151328,0.0,0,632468.3589505509,292062.63298340415,341463.4457489202,self_built,metapool,4
2024-07-21 21:32:33.116327,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.019558734238431,0.0,0,645657.4968160874,302801.4213852053,344772.34066119365,self_built,metapool,4
2024-07-22 03:32:33.116322,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0184987241905163,0.0,0,643948.1964928082,303280.85459596437,345560.42853014776,self_built,metapool,4
2024-07-22 09:32:33.116317,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,0.9923095320395147,0.0,0,647945.9546956815,296015.45538819704,339803.91912417824,self_built,metapool,4
2024-07-22 15:32:33.116312,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0140064303678733,0.0,0,643481.3209075377,299498.222660796,342043.2074986273,self_built,metapool,4
2024-07-22 21:32:33.116307,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.035432175753834,0.0,0,650510.543396562,292231.9026203933,333782.6369974717,self_built,metapool,4
2024-07-23 03:32:33.116302,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0209699727054393,0.0,0,629729.6899697293,302455.1044257205,346222.8168310057,self_built,metapool,4
2024-07-23 09:32:33.116297,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,0.9920499972938084,0.0,0,647733.0956818351,298036.63610321726,339092.026919335,self_built,metapool,4
2024-07-23 15:32:33.116292,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0119385182407228,0.0,0,639170.3950107852,297639.2029341884,355714.29686686804,self_built,metapool,4
2024-07-23 21:32:33.116287,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0456230647934683,0.0,0,647288.0628743977,292571.5040342533,349700.0451778507,self_built,metapool,4
2024-07-24 03:32:33.116282,0x8474DdbE98F5aA3179B3B3F5942D724aFcdec9f6,musd,1.0435570960432572,0.0,0,658139.1389681108,296825.8857499869,354677.80092518363,self_built,metapool,4
